%pc_wealth_adj,factor
65448.5,393
79837.52,2581
111778,393
199999.4,1155
103209,196
128466.8,640
53681.11,179
222079.9,580
110168.2,198
98724.47,723
158664.1,207
82525.95,633
64064.03,2996
196457.8,857
189205.6,645
73902.06,7341
209556.9,628
228680.2,215
239563.9,71
49060.38,4439
315815.1,1239
221610.7,1368
160873.7,706
67959.25,1007
593535.6,13898
47925.17,878
-4914.804,526
35571.52,256
64314.77,39
10373.54,54
53838.49,71
113581.3,2328
20042.81,612
73651.75,1901
227175.2,628
155944.8,5615
59067.11,2885
35355.72,1604
144099.8,1332
245536.5,150
787449.1,231
812738.4,6412
155591.3,254
61872.51,743
71059.74,1502
119024.5,176
242463.8,1424
75033.9,1299
71668.5,1454
399854.4,284
179711.5,1018
311560.4,215
37567.24,305
27204.7,3033
176552.6,1114
85386.13,93
279209.7,2553
170372,577
313441.3,1465
107441.5,1091
408229.8,255
238190.9,39
87061.17,38
38205.18,6092
20506.75,271
240875.9,475
51285.99,182
107311,1219
185377.5,1425
52718.54,565
277631.6,2722
211327.9,171
10719.13,434
160777.6,2759
218062.4,1972
35037.62,434
65894.59,1114
26620.42,29
54127.85,1010
93523.87,39
80134.41,645
49604.1,56
10196.22,352
49108.15,97
139829.7,369
4465.555,586
176046.6,132
215189.3,1311
34190.66,1834
210699,97
152270.9,256
145838.5,1155
53422.94,1311
32509.58,688
378986.4,1807
147933.1,612
526835.6,2106
80837.99,97
119964.1,1532
65898.17,2555
229725.4,218
180865.7,1007
112612.4,4092
109891,512
149451.8,99
46659.27,588
139469,8042
8347.183,882
261808.5,927
377450.1,3194
60774.62,1033
226992.4,353
61418.25,688
216154,2924
37487.69,107
197721,703
183294.8,269
56678.36,1690
158477.3,179
258948.3,97
131516.2,703
161342.8,1602
108015.1,604
68262.43,688
64054.91,1690
56438.02,138
8735.277,204
152962.4,379
137347.9,813
123745,2611
112253.3,1197
248044.8,1705
356457.8,257
958832.8,2582
298804.8,819
422833.4,251
46391.34,4740
311159.7,185
68471.86,4740
94561.41,2608
121079,4740
56369.42,4740
80221.52,994
51916.54,4740
50999.63,3163
87138.73,1253
203359.6,318
69471.89,774
99957.4,396
21438.26,4514
255810.4,2545
6224.127,310
113319.2,1369
48106.55,1834
47538.65,396
71887.75,971
16523.45,351
44543.54,396
58602.58,2505
124480.8,789
49703.22,277
101483.1,295
246543.3,936
27242.58,616
65376.54,127
123755.6,1335
275508.8,235
110161,353
34007.02,2549
188259.5,2691
40867.49,6894
333748.9,599
285733.2,1465
160393.7,3178
79473.42,2996
197209.4,664
146817.7,4681
172189,1321
139609.4,158
77596.38,115
259244.7,4398
45289.43,596
88887.82,2567
193938.8,341
717473.8,2885
118570.4,185
118734.2,1126
269675.8,2315
113382,1648
12102.51,1227
326375.3,327
344547.8,1566
22327.78,3243
101669.5,3180
42516.59,38
64505.91,591
210712.2,2452
245205,156
102553.4,2639
33047.89,1521
134239.5,1311
28437.67,39
372810,211
15560.32,277
45606.53,260
47925.17,149
244804.7,656
157424.8,6894
62618.85,177
10865.74,311
46354.18,1928
35199.02,10235
98656.5,106
125027,115
2865.354,460
0,1252
91255.84,106
200303.7,753
47596.77,341
24881.37,166
231240.9,652
65430.08,5368
26501.96,56
80229.05,515
193126.8,599
66095.77,197
269137.1,166
242944.3,89
353799.3,1657
4606.189,1041
34257.16,305
59482.63,2322
337393.9,2307
149198.9,1155
47711.53,2191
34190.66,176
184665,483
165399.5,3906
410377.6,1465
249343.7,454
28584.34,3178
394447.5,3297
31120.63,3393
221706.2,454
68663.52,181
136265.6,4730
81734.98,269
77485.55,329
110458.5,1415
575975.9,570
484009.5,2672
83243.82,2328
223884,454
98083.87,271
224349.2,2902
93127.25,1006
31719.98,102
85178.8,102
45873.31,980
49040.99,2277
81448.37,1304
141220.2,1941
217194.4,753
35007.36,2553
17230.21,68
83081.2,1408
64123.89,1644
139876.3,3254
85185.98,2608
28814.27,1767
93008.35,1502
13321.99,305
33027.52,1168
230058.8,726
184699.4,2672
170784.5,5035
17230.21,78
154439.8,321
0,216
39222.02,596
217979.1,5127
13166.12,1247
73574.55,106
591134,1644
85212.99,1791
294538.4,1644
47211.27,181
44751.11,364
74410.48,404
98499.41,312
112427,3236
13590.89,550
158886.8,120
92777.48,1007
32825.92,3851
88902.66,211
221356.1,678
86005.84,1069
920163.9,741
64056.95,1257
16102.66,197
-2457.402,460
3978.73,1149
146445.9,1368
