%pc_wealth_adj,factor
80588.93,9021
322297.9,1266
412987.4,1301
317239.1,9794
24681.03,275
432066.6,412
205928.5,1083
313978.3,2105
259254.2,972
82270.45,701
175807.8,737
62869.75,1000
110657.1,5064
307872.8,9794
143414.7,399
69745,332
680009.9,5039
129118.5,1364
130941.2,724
189055.7,470
43379.09,5063
451332.6,5064
168070.7,652
138865.7,148
195647.9,1544
1091.725,22
189055.7,462
108874.7,779
11917.75,296
131796,944
263592.7,3430
356300.2,316
139745.3,1066
150526.5,476
177598.8,738
130653.8,1548
133139.7,3940
429964.2,1364
575920.3,2372
94789.66,769
231861.2,2779
199597.2,900
167778.8,6300
27162.77,366
133107.2,2176
239468.1,366
511166,341
55311.66,2727
104198.7,2063
129820.4,761
144588.1,907
11286.43,1507
21051.49,2781
109182.5,5063
356836.6,4757
80053.97,5063
239624.3,577
143469.2,255
37083.34,2753
496198.6,544
104277.1,6601
254690.8,593
83841.37,455
112912.2,759
20602.93,956
158858.5,1532
52380.92,2439
42305.9,1853
35835.99,3086
118998.1,56
239196.5,464
185060.5,1697
68070.6,3381
335576.4,1977
125708.9,2895
111468.1,433
256710.6,1031
100736.2,2810
96803.03,1730
157038.6,1981
29388.64,85
145600.7,2457
114697.2,141
249827.2,724
105616.8,5515
312122.8,5108
41613.56,164
217814.6,800
323395.3,3421
220421.1,2135
998854.5,2035
158238.3,698
292726.1,707
135606.5,5732
180080.7,1118
42876.51,1019
106178,244
68381.32,1660
103667.7,777
93323.88,738
246991.4,1765
103595.7,1253
665939.9,1122
161096.8,1363
21387.3,1507
236974.2,1885
175324.6,1061
160854.1,1309
85405.48,410
122369.9,1258
291201.4,1620
96853.9,652
91165.99,124
430186.3,366
241137.2,1350
104171.1,301
59893.24,83
135344.1,1309
74172.2,1350
89275.76,2781
23357.97,1296
57796.89,1853
61914.5,1820
93147.94,1376
39750.64,1363
153953.4,1680
92590.7,44
536307.8,366
320537.7,526
49498.01,1735
125062.8,275
333900.6,896
510269,1286
178446,41
171302.6,1309
171410.1,1880
174190,981
88600.46,1826
110135.2,110
460777.9,7772
168845.6,1601
362904.9,455
53481.87,10715
72676.77,4563
492249.4,2192
85641.66,323
129315,366
262022.2,6753
91472.86,1191
195176.3,124
206115.3,2114
408372.3,679
124049.6,5396
150476.1,462
102790.3,4373
305544.3,1143
41868.47,237
166167.4,9021
259305.3,2372
188229.3,688
330336.3,738
97715.65,1660
191312.7,1712
228726.4,57
197778.7,1663
559779.4,723
82744.32,3187
78544.03,1555
141896.9,1700
58600.06,710
92770.23,1309
198787.6,1620
36535.39,5929
964257.1,10715
150165.2,3884
112952.1,3664
293839.6,320
153275.2,7772
116661,1467
169313.3,712
202414,528
436993.3,1968
9516.878,22
300301.8,1279
228069.9,10715
160268.8,539
412516.8,1309
70472.16,818
518618.3,160
24681.03,311
227836.5,2606
118095.7,7772
151441.9,433
295636.7,368
193127.9,977
436092.9,324
182136.7,1994
100423.3,1968
134111.4,1420
109012.5,6800
146932.4,1620
51245.59,2122
326394.8,1014
123030.2,1813
486069.6,2331
126221.2,1544
164176.6,3990
63104.99,980
682317.4,909
123326.6,1138
339590.4,210
109188,853
51285.99,832
133563,528
249660.2,900
82493.3,6228
339063,4373
122911.3,86
130428.9,6228
55886.41,102
174789.5,463
114693.5,216
127118.5,3086
81437.85,1414
196850.6,2609
344889.8,251
122457.9,2324
113034.9,2331
68381.32,5929
166798.3,4373
208554.4,7772
148409,192
886209.1,723
44249.33,241
237808.9,436
106639.8,1454
201472.3,2481
205928.5,3773
146919.8,1919
78356.36,1299
158895,1378
86105.01,542
300641.2,895
423467.6,1031
337925.2,2730
158664.1,124
234548.8,713
189055.7,2607
67328.06,1967
141052.7,2307
25416.55,1754
173780.4,777
863174.2,728
128545.5,880
111823,1802
370956.2,676
33079.33,54
250118.5,154
94400.5,1289
279930.2,1062
79197.63,580
337581.4,2278
150448,336
75201.6,1071
378482.8,2157
77185.11,738
18405.21,1507
65620.83,2605
12329.39,1507
34994.45,785
106845.9,1507
130126.9,1234
223656.8,698
264191.3,2106
250611.1,1998
373992,1490
77395.8,232
122347.2,621
100949.2,629
148301,3086
74741.52,744
124550.5,1125
68381.32,1172
24681.03,2807
35415.32,1386
168907.9,563
19574.94,497
118227.1,699
321141.9,2114
288060.3,1113
47925.17,894
456057.9,3009
71887.75,2810
302329,5064
279008.9,1031
74599.47,232
78056.3,232
66531.26,9794
102959.9,232
449410.7,1375
145226.7,232
177347.6,7062
321516.1,252
91473.73,83
219894.6,6601
358998,897
181441.9,1369
271935.9,7402
71176.93,6599
92708.35,1507
162917,7062
259094.1,298
306347.6,497
116923,505
81500.6,9794
239839,1534
86550.37,2895
240279.4,1532
96975.62,79
110923.6,472
125867.3,1789
369317.8,349
155385.2,433
438330.3,1338
318332.2,783
159267.2,9794
956597.2,2120
48192.9,497
0,33
30410.2,497
260062.6,528
619518.1,104
177018.1,2785
160723.2,1960
57888.83,1384
124943.3,7062
120874.4,79
84917.68,1386
79041.05,2176
239188.3,344
212072.9,1050
452955.3,455
147862.4,948
119025.3,829
138715,131
276705.7,8467
114197.4,497
176934,526
157982.8,1007
149019.4,1165
146441.9,1194
506850.4,981
92201.87,451
358184.5,2114
102430.9,844
72457.7,164
120701.2,914
115636.2,476
398327.4,1986
98102.09,644
232167.2,628
106845.9,886
106799.6,1040
90720.93,123
171160.6,2332
46419.7,779
217101,396
4149.371,36
208795.1,606
138552.5,2176
289416.8,906
4503.318,1802
262202.8,1448
174380.6,1903
817162.7,410
76735.05,528
75626.95,546
287833.1,340
113881.4,2605
97623.07,3049
139402.9,701
404754,2605
83734.96,1161
329977.4,500
109635,439
56941.54,41
121573.5,4632
104165.9,1968
104075.7,13490
70484.05,581
349458.4,7254
149143.5,2753
76525.08,410
223844,61
190581.5,576
137623.1,380
6619.479,33
33148.79,2171
120038.7,5064
257315,588
133941.2,1611
223928.7,1820
36128.49,1885
79511.57,1061
154222.1,954
68.02113,33
27151.56,540
80134.41,3449
57879.18,514
439887,373
259941.7,971
104607.5,433
596465.6,710
139835.6,716
116402.6,277
211546.5,752
220471,752
223253.9,1955
57726.18,237
223695.6,124
188954.8,366
94446.25,1047
81702.68,677
3859.987,22
237488.3,662
154207.3,9488
54584.83,13490
20105.89,179
107765.2,476
118154.3,749
415962.3,800
144682.3,697
54671.07,497
199954.8,906
168780.8,5396
73748.88,2895
169254.6,8344
-1404.23,333
0,334
122970.8,896
493844.6,2020
195647.9,1609
107410.6,773
177967.5,4072
365680.3,2671
172417.4,906
96653.34,919
39327.55,980
78926.34,4072
0,68
88660.23,778
532839.9,698
231916.8,862
149041,4681
25001.44,334
279290.4,2171
142588.8,1221
151522.2,1620
103609.5,54
59492.5,300
96107.34,1216
107645.8,569
165212.3,1031
47764.08,569
94444.78,769
106408.6,569
250132,569
68285.75,12
16813.61,569
100763.5,769
65634.97,516
187951.1,1660
618806.8,1276
443693.5,4046
221246.7,1859
125615.9,425
28023.27,244
